icd9_code,label_index,code_kind,name,short_name,type,description,orpha_code,orpha_name,icd10_map,mapping_method,is_rare_disease
447.4,276,diagnosis,Celiac artery compression syndrome,Celiac art compress syn,Disease,"A rare disease caused by compression of the celiac axis by an abnormally shaped arcuate ligament (the part of the diaphragm in which both pillars join in the midline around the aorta). Patients have recurrent abdominal pain, anorexia and weight loss. The pain is epigastric, and diarrhea or constipation may be present as well. Onset of pain will usually, although not always, be after food intake, and may be associated with nausea and emesis. Other symptoms may include lassitude, exercise intolerance and vomiting. Occasionally, a patient may show an abdominal murmur upon auscultation.",ORPHA:293208,Celiac artery compression syndrome,I77.4,name-exact,yes
756.83,277,diagnosis,Ehlers-Danlos syndrome,Ehlers-danlos syndrome,Clinical group,"A heterogeneous group of diseases characterized by fragility of the soft connective tissues resulting in widespread skin, ligament, joint, blood vessel and/or internal organ manifestations. Clinical spectrum is highly variable, ranging from mild skin and joint hyperlaxity to severe physical disability and life-threatening vascular complications. Overlap with osteogenesis imperfecta may be observed resulting in an EDS/osteogenesis imperfecta overlap phenotype. Diseases in this group include classical Ehlers-Danlos syndrome (EDS), musculocontractural EDS, hypermobile EDS, vascular EDS, arthrochalasia EDS, dermatosparaxis EDS, periodontal EDS, X-linked EDS, brittle cornea syndrome, classical-like EDS type 1 and type 2, cardiac-valvular EDS, spondylodysplastic EDS, myopathic EDS, and kyphoscoliotic EDS.",ORPHA:98249,Ehlers-Danlos syndrome,Q79.6,name-exact,group
333.0,278,diagnosis,Other degenerative diseases of the basal ganglia,Degen basal ganglia NEC,ICD-9-CM diagnosis,Other degenerative diseases of the basal ganglia,none,none,G23.0;G23.1;G23.2;G23.8,none,no
356.2,279,diagnosis,Hereditary sensory neuropathy,Hered sensory neuropathy,ICD-9-CM diagnosis,Hereditary sensory neuropathy,none,none,G60.0,none,no
748.4,280,diagnosis,Congenital cystic lung,Congenital cystic lung,Malformation syndrome,"A rare respiratory malformation characterized by a hamartomatous mass of non-functioning lung tissue of variable extent and with variable degrees of cystic or adenomatoid change. Clinical presentation, prognosis, and presence of associated abnormalities depend on the subtype of the lesion. Based on histopathological findings, five subtypes (types 0 to 4) can be differentiated.",ORPHA:2444,Congenital pulmonary airway malformation,Q33.0,name-exact,yes
153.5,281,diagnosis,Malignant neoplasm of appendix vermiformis,Malignant neo appendix,ICD-9-CM diagnosis,Malignant neoplasm of appendix vermiformis,none,none,C18.1,none,no
749.00,282,diagnosis,"Cleft palate, unspecified",Cleft palate NOS,Clinical group,A fissure type embryopathy that affects the soft and hard palate to varying degrees.,ORPHA:2014,Cleft palate,Q35.9,icd10-exact-E,group
710.5,283,diagnosis,Eosinophilia myalgia syndrome,Eosinophilia myalgia snd,ICD-9-CM diagnosis,Eosinophilia myalgia syndrome,none,none,M35.8,none,no
426.6,284,diagnosis,Other heart block,Other heart block,ICD-9-CM diagnosis,Other heart block,none,none,I45.5,none,no
156.0,285,diagnosis,Malignant neoplasm of gallbladder,Malig neo gallbladder,ICD-9-CM diagnosis,Malignant neoplasm of gallbladder,none,none,C23,none,no
755.01,286,diagnosis,Polydactyly of fingers,"Polydactyly, fingers",ICD-9-CM diagnosis,Polydactyly of fingers,none,none,Q69.0;Q69.1,none,no
299.80,287,diagnosis,"Other specified pervasive developmental disorders, current or active state",Pervasv dev dis-cur NEC,ICD-9-CM diagnosis,"Other specified pervasive developmental disorders, current or active state",none,none,F84.5;F84.8,none,no
289.7,288,diagnosis,Methemoglobinemia,Methemoglobinemia,ICD-9-CM diagnosis,Methemoglobinemia,none,none,D74.0;D74.8;D74.9,none,no
211.5,289,diagnosis,Benign neoplasm of liver and biliary passages,Ben neo liver/bile ducts,ICD-9-CM diagnosis,Benign neoplasm of liver and biliary passages,none,none,D13.4;D13.5,none,no
709.3,290,diagnosis,Degenerative skin disorders,Degenerative skin disord,ICD-9-CM diagnosis,Degenerative skin disorders,none,none,L92.1;L94.2;L98.8,none,no
695.13,291,diagnosis,Stevens-Johnson syndrome,Stevens-Johnson syndrome,Clinical subtype,"A limited form of Stevens-Johnson syndrome/toxic epidermal necrolysis spectrum characterized by destruction and detachment of the skin epithelium, involving less than 10% of the body surface area, and mucous membranes. Onset usually occurs 4-28 days after administration of the causal medication and is most frequently associated with anticonvulsants, antibacterial sulfonamides, allopurinol, nevirapine, and oxicams (non-steroidal anti-inflammatory drugs), but many other medications have also been implicated. The disease is not induced by medication in 15% of cases. Histology is characterized by an epidermal necrolysis. Multiple disabling long-term sequelae (especially cutaneous, ocular and psychological) are frequent.",ORPHA:36426,Stevens-Johnson syndrome,L51.1,name-exact,yes
753.13,292,diagnosis,"Polycystic kidney, autosomal dominant",Polycyst kid-autosom dom,ICD-9-CM diagnosis,"Polycystic kidney, autosomal dominant",none,none,Q61.2,none,no
295.20,293,diagnosis,"Catatonic type schizophrenia, unspecified",Catatonia-unspec,ICD-9-CM diagnosis,"Catatonic type schizophrenia, unspecified",none,none,F20.2,none,no
528.5,294,diagnosis,Diseases of lips,Diseases of lips,ICD-9-CM diagnosis,Diseases of lips,none,none,K13.0,none,no
211.6,295,diagnosis,"Benign neoplasm of pancreas, except islets of Langerhans",Benign neoplasm pancreas,ICD-9-CM diagnosis,"Benign neoplasm of pancreas, except islets of Langerhans",none,none,D13.6,none,no
142.0,296,diagnosis,Malignant neoplasm of parotid gland,Malig neo parotid,ICD-9-CM diagnosis,Malignant neoplasm of parotid gland,none,none,C07,none,no
752.89,297,diagnosis,Other specified anomalies of genital organs,Genital organ anom NEC,ICD-9-CM diagnosis,Other specified anomalies of genital organs,none,none,Q52.8;Q55.0;Q55.1;Q55.21;Q55.29;Q55.3;Q55.8,none,no
171.4,298,diagnosis,Malignant neoplasm of connective and other soft tissue of thorax,Mal neo soft tis thorax,ICD-9-CM diagnosis,Malignant neoplasm of connective and other soft tissue of thorax,none,none,C49.3,none,no
