icd9_code,label_index,code_kind,name,short_name,type,description,orpha_code,orpha_name,icd10_map,mapping_method,is_rare_disease
755.69,485,diagnosis,"Other anomalies of lower limb, including pelvic girdle",Lower limb anomaly NEC,ICD-9-CM diagnosis,"Other anomalies of lower limb, including pelvic girdle",none,none,Q74.2,none,no
743.30,486,diagnosis,"Congenital cataract, unspecified",Congenital cataract NOS,ICD-9-CM diagnosis,"Congenital cataract, unspecified",none,none,Q12.0,none,no
744.41,487,diagnosis,Branchial cleft sinus or fistula,Branch cleft sinus/fistu,ICD-9-CM diagnosis,Branchial cleft sinus or fistula,none,none,Q18.0,none,no
743.63,488,diagnosis,Other specified congenital anomalies of eyelid,Spec anom of eyelid NEC,ICD-9-CM diagnosis,Other specified congenital anomalies of eyelid,none,none,Q10.3,none,no
194.3,489,diagnosis,Malignant neoplasm of pituitary gland and craniopharyngeal duct,Malig neo pituitary,ICD-9-CM diagnosis,Malignant neoplasm of pituitary gland and craniopharyngeal duct,none,none,C75.1;C75.2,none,no
757.2,490,diagnosis,Dermatoglyphic anomalies,Dermatoglyphic anomalies,ICD-9-CM diagnosis,Dermatoglyphic anomalies,none,none,Q82.8,none,no
746.86,491,diagnosis,Congenital heart block,Congenital heart block,Disease,"Congenital heart block (CHB) is a rare disorder of atrioventricular conduction, characterized by absence of conduction of atrial impulses to the ventricles with slower ventricular rhythm (atrioventricular dissociation). CHB can occur in association with immunological evidence of maternal connective disease (autoimmune CHD), fetal structural CHD or can be idiopathic.",ORPHA:60041,Congenital heart block,Q24.6,name-exact,yes
695.12,492,diagnosis,Erythema multiforme major,Erythema multiforme maj,Disease,"A rare skin disease characterized most typically by targetoid papules with 3-rings of concentric color variation (dark center, surrounded by lighter pink ring and an outer red ring) symmetrically distributed on the extensor surfaces of the extremities, or more diffuse, accompanied by 2 or more mucosal involvements (erosions of the oral, genital, anal mucosa, conjunctivitis, pseudomembranes). The condition is commonly proceeded by prodromal symptoms of malaise, fever, and myalgias, and is usually self-limiting, resolving within a few weeks; although, there is a risk of recurrence. The disease is mostly triggered by infectious agents (herpes virus, <i>mycoplasma pneumoniae</i>) but a subset of patients have auto-antibodies targeting plakins. Rare cases of severe mucosal sequelae have been described.",ORPHA:502499,Erythema multiforme major,L51.8,name-exact,yes
745.10,493,diagnosis,Complete transposition of great vessels,Compl transpos great ves,ICD-9-CM diagnosis,Complete transposition of great vessels,none,none,Q20.3,none,no
62.0,494,procedure,Incision of testis,Incision of testes,ICD-9-CM procedure,Incision of testis,none,none,0V9900Z;0V990ZZ;0V9B00Z;0V9B0ZZ;0V9C00Z;0V9C0ZZ;0VC90ZZ;0VC93ZZ;0VC94ZZ;0VCB0ZZ;0VCB3ZZ;0VCB4ZZ;0VCC0ZZ;0VCC3ZZ;0VCC4ZZ;0VPD0JZ,none,no
359.0,495,diagnosis,Congenital hereditary muscular dystrophy,Cong hered musc dystrphy,ICD-9-CM diagnosis,Congenital hereditary muscular dystrophy,none,none,G71.2,none,no
744.42,496,diagnosis,Branchial cleft cyst,Branchial cleft cyst,ICD-9-CM diagnosis,Branchial cleft cyst,none,none,Q18.0,none,no
288.1,497,diagnosis,Functional disorders of polymorphonuclear neutrophils,Function dis neutrophils,Group of rare disorders (Orphanet),"Functional disorders of polymorphonuclear neutrophils. Its ICD-10 equivalent (D71) is an umbrella under which Orphanet catalogues 5 narrower rare diseases, e.g. Aggressive periodontitis; Chronic granulomatous disease; Congenital neutropenia-combined immunodeficiency due to MKL1 deficiency.",multiple,Aggressive periodontitis; Chronic granulomatous disease; Congenital neutropenia-combined immunodeficiency due to MKL1 deficiency; Infantile LAD-like disease due to RAC2 deficiency; (+1 more),D71,icd10-ntbt-group,group
140.1,498,diagnosis,"Malignant neoplasm of lower lip, vermilion border",Mal neo lower vermilion,ICD-9-CM diagnosis,"Malignant neoplasm of lower lip, vermilion border",none,none,C00.1,none,no
343.8,499,diagnosis,Other specified infantile cerebral palsy,Cerebral palsy NEC,ICD-9-CM diagnosis,Other specified infantile cerebral palsy,none,none,G80.8,none,no
214.9,500,diagnosis,"Lipoma, unspecified site",Lipoma NOS,ICD-9-CM diagnosis,"Lipoma, unspecified site",none,none,D17.9,none,no
341.1,501,diagnosis,Schilder's disease,Schilder's disease,ICD-9-CM diagnosis,Schilder's disease,none,none,G37.0;G37.5,none,no
750.26,502,diagnosis,Other specified anomalies of mouth,Mouth anomaly NEC,ICD-9-CM diagnosis,Other specified anomalies of mouth,none,none,Q38.6,none,no
437.6,503,diagnosis,Nonpyogenic thrombosis of intracranial venous sinus,Nonpyogen thrombos sinus,ICD-9-CM diagnosis,Nonpyogenic thrombosis of intracranial venous sinus,none,none,I67.6,none,no
370.8,504,diagnosis,Other forms of keratitis,Keratitis NEC,ICD-9-CM diagnosis,Other forms of keratitis,none,none,H16.8,none,no
746.82,505,diagnosis,Cor triatriatum,Cor triatriatum,Clinical group,Cor triatriatum,ORPHA:1463,Triatrial heart,Q24.2,name-exact,group
334.0,506,diagnosis,Friedreich's ataxia,Friedreich's ataxia,Disease,"Friedreich ataxia (FRDA) is an inherited neurodegenerative disorder classically characterized by progressive gait and limb ataxia, dysarthria, dysphagia, oculomotor dysfunction, loss of deep tendon reflexes, pyramidal tract signs, scoliosis, and in some, cardiomyopathy, diabetes mellitus, visual loss and defective hearing.",ORPHA:95,Friedreich ataxia,G11.1,name-exact,yes
774.31,507,diagnosis,Neonatal jaundice due to delayed conjugation in diseases classified elsewhere,Neonat jaund in oth dis,ICD-9-CM diagnosis,Neonatal jaundice due to delayed conjugation in diseases classified elsewhere,none,none,P59.8,none,no
692.3,508,diagnosis,Contact dermatitis and other eczema due to drugs and medicines in contact with skin,Topical med dermatitis,ICD-9-CM diagnosis,Contact dermatitis and other eczema due to drugs and medicines in contact with skin,none,none,L25.1,none,no
335.11,509,diagnosis,Kugelberg-Welander disease,Kugelberg-welander dis,Clinical subtype,"A rare, genetic proximal spinal muscular atrophy characterized by degeneration of alpha motor neurons in the anterior horns of the spinal cord and lower brain stem manifesting with onset of progressive proximal muscle weakness (legs greater than arms) between 18 months and adulthood. Motor development is heterogeneous but walking is typically acquired.",ORPHA:83419,Proximal spinal muscular atrophy type 3,G12.1,name-exact,yes
756.71,510,diagnosis,Prune belly syndrome,Prune belly syndrome,Malformation syndrome,"A rare lower urinary tract obstruction (LUTO) characterized by varying degrees of an enlarged urinary bladder, dilated ureters, hydronephrosis, and poorly contractile and disorganized detrusor and ureteral smooth muscle, in association with hypoplastic or absent midline abdominal skeletal musculature, and bilaterally undescended testes in males.",ORPHA:2970,Prune belly syndrome,Q79.4;Q79.51,name-exact,yes
744.01,511,diagnosis,Absence of external ear,Cong absence ext ear,ICD-9-CM diagnosis,Absence of external ear,none,none,Q16.0,none,no
744.23,512,diagnosis,Microtia,Microtia,ICD-9-CM diagnosis,Microtia,none,none,Q17.2,none,no
443.1,513,diagnosis,Thromboangiitis obliterans [Buerger's disease],Thromboangiit obliterans,ICD-9-CM diagnosis,Thromboangiitis obliterans [Buerger's disease],none,none,I73.1,none,no
744.89,514,diagnosis,Other specified congenital anomalies of face and neck,Cong face/neck anom NEC,ICD-9-CM diagnosis,Other specified congenital anomalies of face and neck,none,none,Q18.8,none,no
791.3,515,diagnosis,Myoglobinuria,Myoglobinuria,ICD-9-CM diagnosis,Myoglobinuria,none,none,R82.1,none,no
390,516,diagnosis,Rheumatic fever without mention of heart involvement,Rheum fev w/o hrt involv,ICD-9-CM diagnosis,Rheumatic fever without mention of heart involvement,none,none,I00,none,no
151.5,517,diagnosis,"Malignant neoplasm of lesser curvature of stomach, unspecified",Mal neo stom lesser curv,ICD-9-CM diagnosis,"Malignant neoplasm of lesser curvature of stomach, unspecified",none,none,C16.5,none,no
745.0,518,diagnosis,Common truncus,Common truncus,ICD-9-CM diagnosis,Common truncus,none,none,Q20.0,none,no
743.20,519,diagnosis,"Buphthalmos, unspecified",Buphthalmos NOS,ICD-9-CM diagnosis,"Buphthalmos, unspecified",none,none,Q15.0,none,no
529.6,520,diagnosis,Glossodynia,Glossodynia,ICD-9-CM diagnosis,Glossodynia,none,none,K14.6,none,no
258.1,521,diagnosis,Other combinations of endocrine dysfunction,Comb endocr dysfunct NEC,ICD-9-CM diagnosis,Other combinations of endocrine dysfunction,none,none,E31.0,none,no
282.43,522,diagnosis,Alpha thalassemia,Alpha thalassemia,Clinical group,A rare inherited hemoglobinopathy characterized by impaired synthesis of two to all four alpha-globin chains leading to a variable clinical picture depending on the number of affected alleles.,ORPHA:846,Alpha-thalassemia,D56.0,name-exact,group
755.10,523,diagnosis,Syndactyly of multiple and unspecified sites,"Syndactyly, multiple/NOS",ICD-9-CM diagnosis,Syndactyly of multiple and unspecified sites,none,none,Q70.4;Q70.9,none,no
366.46,524,diagnosis,Cataract associated with radiation and other physical influences,Cataract w radiation,ICD-9-CM diagnosis,Cataract associated with radiation and other physical influences,none,none,H26.8,none,no
749.22,525,diagnosis,"Cleft palate with cleft lip, unilateral, incomplete",Unil cleft palat/lip-inc,ICD-9-CM diagnosis,"Cleft palate with cleft lip, unilateral, incomplete",none,none,Q37.9,none,no
176.5,526,diagnosis,"Kaposi's sarcoma, lymph nodes",Lym nds - kpsi's sarcoma,ICD-9-CM diagnosis,"Kaposi's sarcoma, lymph nodes",none,none,C46.3,none,no
389.06,527,diagnosis,"Conductive hearing loss, bilateral","Condctv hear loss, bilat",ICD-9-CM diagnosis,"Conductive hearing loss, bilateral",none,none,H90.0,none,no
114.9,528,diagnosis,"Coccidioidomycosis, unspecified",Coccidioidomycosis NOS,ICD-9-CM diagnosis,"Coccidioidomycosis, unspecified",none,none,B38.9,none,no
743.43,529,diagnosis,"Other corneal opacities, congenital",Cong corneal opacit NEC,ICD-9-CM diagnosis,"Other corneal opacities, congenital",none,none,Q13.3,none,no
282.1,530,diagnosis,Hereditary elliptocytosis,Heredit elliptocytosis,ICD-9-CM diagnosis,Hereditary elliptocytosis,none,none,D58.1,none,no
333.5,531,diagnosis,Other choreas,Chorea NEC,ICD-9-CM diagnosis,Other choreas,none,none,G25.4;G25.5,none,no
281.3,532,diagnosis,Other specified megaloblastic anemias not elsewhere classified,Megaloblastic anemia NEC,ICD-9-CM diagnosis,Other specified megaloblastic anemias not elsewhere classified,none,none,D53.1,none,no
747.89,533,diagnosis,Other specified anomalies of circulatory system,Circulatory anomaly NEC,ICD-9-CM diagnosis,Other specified anomalies of circulatory system,none,none,Q28.8,none,no
282.8,534,diagnosis,Other specified hereditary hemolytic anemias,Hered hemolytic anem NEC,ICD-9-CM diagnosis,Other specified hereditary hemolytic anemias,none,none,D58.8,none,no
295.24,535,diagnosis,"Catatonic type schizophrenia, chronic with acute exacerbation",Catatonia-chr/exacerb,ICD-9-CM diagnosis,"Catatonic type schizophrenia, chronic with acute exacerbation",none,none,F20.2,none,no
694.0,536,diagnosis,Dermatitis herpetiformis,Dermatitis herpetiformis,Disease,"A chronic autoimmune subepidermal bullous disease characterized by grouped pruritic lesions such as papules, urticarial plaques, erythema, and herpetiform vesiculae, with a predominantly symmetrical distribution on extensor surfaces of the elbows (90%), knees (30%), shoulders, buttocks, sacral region, and face of children and adults. Erosions, excoriations and hyperpigmentation usually follow. It may also appear as a consequence of gluten intolerance.",ORPHA:1656,Dermatitis herpetiformis,L13.0,name-exact,yes
745.11,537,diagnosis,Double outlet right ventricle,Double outlet rt ventric,Morphological anomaly,"A rare cono-truncal anomaly in which both the aorta and pulmonary artery originate, either entirely or predominantly, from the morphologic right ventricle.",ORPHA:3426,Double outlet right ventricle,Q20.1,name-exact,yes
447.3,538,diagnosis,Hyperplasia of renal artery,Renal artery hyperplasia,ICD-9-CM diagnosis,Hyperplasia of renal artery,none,none,I77.3,none,no
282.0,539,diagnosis,Hereditary spherocytosis,Hereditary spherocytosis,ICD-9-CM diagnosis,Hereditary spherocytosis,none,none,D58.0,none,no
159.8,540,diagnosis,Malignant neoplasm of other sites of digestive system and intra-abdominal organs,Mal neo gi/intra-abd NEC,ICD-9-CM diagnosis,Malignant neoplasm of other sites of digestive system and intra-abdominal organs,none,none,C26.9,none,no
110.6,541,diagnosis,Deep seated dermatophytosis,Deep dermatophytosis,ICD-9-CM diagnosis,Deep seated dermatophytosis,none,none,B35.8,none,no
79.89,542,procedure,Open reduction of dislocation of other specified sites,Open reduc-dislocat NEC,ICD-9-CM procedure,Open reduction of dislocation of other specified sites,none,none,0RS004Z;0RS00ZZ;0RS104Z;0RS10ZZ;0RS404Z;0RS40ZZ;0RS604Z;0RS60ZZ;0RSA04Z;0RSA0ZZ;0SS004Z;0SS00ZZ;0SS304Z;0SS30ZZ;0SS504Z;0SS50ZZ;0SS604Z;0SS60ZZ;0SS704Z;0SS70ZZ;0SS804Z;0SS80ZZ,none,no
690.12,543,diagnosis,Seborrheic infantile dermatitis,Sbrheic infantl drmtitis,ICD-9-CM diagnosis,Seborrheic infantile dermatitis,none,none,L20.83;L21.1,none,no
152.1,544,diagnosis,Malignant neoplasm of jejunum,Malignant neopl jejunum,ICD-9-CM diagnosis,Malignant neoplasm of jejunum,none,none,C17.1,none,no
315.39,545,diagnosis,Other developmental speech or language disorder,Speech/language dis NEC,ICD-9-CM diagnosis,Other developmental speech or language disorder,none,none,F80.0;F80.89,none,no
692.79,546,diagnosis,Other dermatitis due to solar radiation,Oth dermatitis solar rad,ICD-9-CM diagnosis,Other dermatitis due to solar radiation,none,none,L56.8,none,no
590.01,547,diagnosis,Chronic pyelonephritis with lesion of renal medullary necrosis,Chr pyeloneph w med necr,ICD-9-CM diagnosis,Chronic pyelonephritis with lesion of renal medullary necrosis,none,none,N11.0;N11.8,none,no
45.90,548,procedure,"Intestinal anastomosis, not otherwise specified",Intestinal anastom NOS,ICD-9-CM procedure,"Intestinal anastomosis, not otherwise specified",none,none,0D190Z9;0D190ZA;0D190ZB;0D190ZL;0D194Z9;0D194ZA;0D194ZB;0D194ZL;0D198Z9;0D198ZA;0D198ZB;0D198ZL;0D1A0ZA;0D1A0ZB;0D1A0ZH;0D1A0ZK;0D1A0ZL;0D1A0ZM;0D1A0ZN;0D1A0ZP;0D1A4ZA;0D1A4ZB;0D1A4ZH;0D1A4ZK;0D1A4ZL;0D1A4ZM;0D1A4ZN;0D1A4ZP;0D1A8ZA;0D1A8ZB;0D1A8ZH;0D1A8ZK;0D1A8ZL;0D1A8ZM;0D1A8ZN;0D1A8ZP;0D1B0ZB;0D1B0ZH;0D1B0ZK;0D1B0ZL;0D1B0ZM;0D1B0ZN;0D1B0ZP;0D1B4ZB;0D1B4ZH;0D1B4ZK;0D1B4ZL;0D1B4ZM;0D1B4ZN;0D1B4ZP;0D1B8ZB;0D1B8ZH;0D1B8ZK;0D1B8ZL;0D1B8ZM;0D1B8ZN;0D1B8ZP;0D1H0ZH;0D1H0ZK;0D1H0ZL;0D1H0ZM;0D1H0ZN;0D1H0ZP;0D1H4ZH;0D1H4ZK;0D1H4ZL;0D1H4ZM;0D1H4ZN;0D1H4ZP;0D1H8ZH;0D1H8ZK;0D1H8ZL;0D1H8ZM;0D1H8ZN;0D1H8ZP;0D1K0ZK;0D1K0ZL;0D1K0ZM;0D1K0ZN;0D1K0ZP;0D1K4ZK;0D1K4ZL;0D1K4ZM;0D1K4ZN;0D1K4ZP;0D1K8ZK;0D1K8ZL;0D1K8ZM;0D1K8ZN;0D1K8ZP;0D1L0Z4;0D1L0ZL;0D1L0ZM;0D1L0ZN;0D1L0ZP;0D1L4Z4;0D1L4ZL;0D1L4ZM;0D1L4ZN;0D1L4ZP;0D1L8ZL;0D1L8ZM;0D1L8ZN;0D1L8ZP;0D1M0Z4;0D1M0ZM;0D1M0ZN;0D1M0ZP;0D1M4Z4;0D1M4ZM;0D1M4ZN;0D1M4ZP;0D1M8ZM;0D1M8ZN;0D1M8ZP;0D1N0Z4;0D1N0ZN;0D1N0ZP;0D1N4Z4;0D1N4ZN;0D1N4ZP;0D1N8ZN;0D1N8ZP,none,no
750.10,549,diagnosis,"Congenital anomaly of tongue, unspecified",Tongue anomaly NOS,ICD-9-CM diagnosis,"Congenital anomaly of tongue, unspecified",none,none,Q38.3,none,no
745.12,550,diagnosis,Corrected transposition of great vessels,Correct transpos grt ves,ICD-9-CM diagnosis,Corrected transposition of great vessels,none,none,Q20.5,none,no
216.4,551,diagnosis,Benign neoplasm of scalp and skin of neck,Ben neo scalp/skin neck,ICD-9-CM diagnosis,Benign neoplasm of scalp and skin of neck,none,none,D23.4,none,no
70.33,552,procedure,Excision or destruction of lesion of vagina,Excision vaginal lesion,ICD-9-CM procedure,Excision or destruction of lesion of vagina,none,none,0U5G0ZZ;0U5G3ZZ;0U5G4ZZ;0U5G7ZZ;0U5G8ZZ;0U5GXZZ;0UBG0ZZ;0UBG3ZZ;0UBG4ZZ;0UBG7ZZ;0UBG8ZZ;0UBGXZZ,none,no
277.31,553,diagnosis,Familial Mediterranean fever,Fam Mediterranean fever,Disease,"Familial Mediterranean fever (FMF) is an autoinflammatory disorder characterized by recurrent short episodes of fever and serositis resulting in pain in the abdomen, chest, joints and muscles.",ORPHA:342,Familial Mediterranean fever,E85.0,name-exact,yes
258.8,554,diagnosis,Other specified polyglandular dysfunction,Polyglandul dysfunc NEC,ICD-9-CM diagnosis,Other specified polyglandular dysfunction,none,none,E31.20;E31.8,none,no
26.0,555,procedure,Incision of salivary gland or duct,Incis salivary glnd/duct,ICD-9-CM procedure,Incision of salivary gland or duct,none,none,0C9800Z;0C980ZZ;0C9830Z;0C983ZZ;0C9900Z;0C990ZZ;0C9930Z;0C993ZZ;0C9B00Z;0C9B0ZZ;0C9B30Z;0C9B3ZZ;0C9C00Z;0C9C0ZZ;0C9C30Z;0C9C3ZZ;0C9D00Z;0C9D0ZZ;0C9D30Z;0C9D3ZZ;0C9F00Z;0C9F0ZZ;0C9F30Z;0C9F3ZZ;0C9G00Z;0C9G0ZZ;0C9G30Z;0C9G3ZZ;0C9H00Z;0C9H0ZZ;0C9H30Z;0C9H3ZZ;0C9J00Z;0C9J0ZZ;0C9J30Z;0C9J3ZZ;0CC80ZZ;0CC83ZZ;0CC90ZZ;0CC93ZZ;0CCB0ZZ;0CCB3ZZ;0CCC0ZZ;0CCC3ZZ;0CCD0ZZ;0CCD3ZZ;0CCF0ZZ;0CCF3ZZ;0CCG0ZZ;0CCG3ZZ;0CCH0ZZ;0CCH3ZZ;0CCJ0ZZ;0CCJ3ZZ;0CFB0ZZ;0CFB3ZZ;0CFB7ZZ;0CFC0ZZ;0CFC3ZZ;0CFC7ZZ,none,no
211.7,556,diagnosis,Benign neoplasm of islets of Langerhans,Ben neo islets langerhan,ICD-9-CM diagnosis,Benign neoplasm of islets of Langerhans,none,none,D13.7,none,no
448.1,557,diagnosis,"Nevus, non-neoplastic","Nevus, non-neoplastic",ICD-9-CM diagnosis,"Nevus, non-neoplastic",none,none,I78.1,none,no
271.8,558,diagnosis,Other specified disorders of carbohydrate transport and metabolism,Dis carbohydr metab NEC,ICD-9-CM diagnosis,Other specified disorders of carbohydrate transport and metabolism,none,none,E72.52;E72.53;E74.4;E74.8;E77.1,none,no
755.60,559,diagnosis,Unspecified anomaly of lower limb,Lower limb anomaly NOS,ICD-9-CM diagnosis,Unspecified anomaly of lower limb,none,none,Q74.2,none,no
754.40,560,diagnosis,Genu recurvatum,Cong genu recurvatum,Clinical subtype,"A rare congenital knee dislocation characterized by hyperextension of the knee greater than 0° associated with limited flexion, with prominence of the femoral condyles in the popliteal fossa and increased transverse skin folds over the anterior surface of the knee. It can be unilateral or bilateral and may occur as an isolated malformation, be associated with other orthopedic abnormalities (like developmental dysplasia of the hip or clubfoot) or be part of a syndrome (e. g. Larsen's syndrome).",ORPHA:295229,Congenital genu recurvatum,Q68.2,name-exact,yes
759.83,561,diagnosis,Fragile X syndrome,Fragile x syndrome,Malformation syndrome,"A rare genetic disease associated with mild to severe intellectual deficit that may be associated with behavioral disorders and characteristic physical features including a high forehead, prominent and large ears, hyperextensible finger joints, flat feet with pronation and, in adolescent and adult males, macroorchidism.",ORPHA:908,Fragile X syndrome,Q99.2,name-exact,yes
62.2,562,procedure,Excision or destruction of testicular lesion,Testicular les destruct,ICD-9-CM procedure,Excision or destruction of testicular lesion,none,none,0V590ZZ;0V593ZZ;0V594ZZ;0V5B0ZZ;0V5B3ZZ;0V5B4ZZ;0V5C0ZZ;0V5C3ZZ;0V5C4ZZ;0VB90ZZ;0VB93ZZ;0VB94ZZ;0VBB0ZZ;0VBB3ZZ;0VBB4ZZ;0VBC0ZZ;0VBC3ZZ;0VBC4ZZ,none,no
63.1,563,procedure,Excision of varicocele and hydrocele of spermatic cord,Exc spermatic varicocele,ICD-9-CM procedure,Excision of varicocele and hydrocele of spermatic cord,none,none,0VBF0ZZ;0VBF3ZZ;0VBF4ZZ;0VBG0ZZ;0VBG3ZZ;0VBG4ZZ;0VBH0ZZ;0VBH3ZZ;0VBH4ZZ,none,no
282.44,564,diagnosis,Beta thalassemia,Beta thalassemia,Clinical group,Beta-thalassemia (BT) is characterized by deficiency (Beta+) or absence (Beta0) of synthesis of the beta globin chains of hemoglobin (Hb).,ORPHA:848,Beta-thalassemia,D56.1,name-exact,group
352.2,565,diagnosis,Other disorders of glossopharyngeal [9th] nerve,Glossophar nerve dis NEC,ICD-9-CM diagnosis,Other disorders of glossopharyngeal [9th] nerve,none,none,G52.1,none,no
277.09,566,diagnosis,Cystic fibrosis with other manifestations,Cystic fibrosis NEC,Disease,"A rare, genetic pulmonary disorder characterized by sweat, thick mucus secretions causing multisystem disease, chronic infections of the lungs, bulky diarrhea and short stature.",ORPHA:586,Cystic fibrosis,E84.8,icd10-exact-E,yes
755.57,567,diagnosis,Macrodactylia (fingers),Macrodactylia (fingers),ICD-9-CM diagnosis,Macrodactylia (fingers),none,none,Q74.0,none,no
